,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,data/num_train_samples,test/roc_auc,test/temporal_roc_auc,pretrained,data_type
54,54,54,54,54,105,105,52,68,1000,0.6791479156123974,0.4750514946010559,web-wiki+bio,unstructured
55,55,55,55,55,106,106,53,80,1000,0.7001502696992077,0.651480064254343,web-wiki+bio,unstructured
56,56,56,56,56,107,107,54,96,100,0.6940529598520063,0.6668881627253136,web-wiki+bio,unstructured
57,57,57,57,57,108,108,55,84,100,0.6540654319157461,0.4608422726551911,web-wiki+bio,unstructured
58,58,58,58,58,109,109,56,88,100,0.628014661901465,0.6355480848362713,web-wiki+bio,unstructured
59,59,59,59,59,110,110,58,100,100,0.6355955240835081,0.6343552291532135,web-wiki+bio,unstructured
60,60,60,60,60,111,111,59,72,1000,0.6838176643403572,0.4961164805119731,web-wiki+bio,unstructured
61,61,61,61,61,112,112,60,0,100000,0.7944523311132217,0.7539563284600417,web-wiki+bio,unstructured
62,62,62,62,62,113,113,61,76,1000,0.7055552382401667,0.674046848461824,web-wiki+bio,unstructured
63,63,63,63,63,114,114,62,28,100000,0.7942946614054025,0.7422117969570869,web-wiki+bio,unstructured
64,64,64,64,64,115,115,57,92,100,0.6017347162194928,0.6265863538984378,web-wiki+bio,unstructured
65,65,65,65,65,116,116,64,20,362259,0.8047464752138185,0.7668758509798099,web-wiki+bio,unstructured
66,66,66,66,66,117,117,63,48,10000,0.7670372868343205,0.7252995605830144,web-wiki+bio,unstructured
67,67,67,67,67,118,118,73,24,100000,0.7923896452227951,0.7528956397190323,web-wiki+bio,unstructured
68,68,68,68,68,119,119,72,60,10000,0.7602842571283612,0.7353551808059735,web-wiki+bio,unstructured
69,69,69,69,69,120,120,71,32,100000,0.7948952700274603,0.7575997397524434,web-wiki+bio,unstructured
70,70,70,70,70,121,121,70,8,362259,0.8029031573192715,0.7652942075354852,web-wiki+bio,unstructured
71,71,71,71,71,122,122,74,4,362259,0.8047423362432939,0.7663763588688173,web-wiki+bio,unstructured
72,72,72,72,72,123,123,68,16,362259,0.805170676205256,0.7716409335171713,web-wiki+bio,unstructured
73,73,73,73,73,124,124,67,52,10000,0.7672385052653845,0.72990794502194,web-wiki+bio,unstructured
74,74,74,74,74,125,125,66,40,100000,0.7933325426143084,0.7576162436979712,web-wiki+bio,unstructured
75,75,75,75,75,126,126,65,12,362259,0.8020140921253595,0.7627246391962239,web-wiki+bio,unstructured
76,76,76,76,76,127,127,69,36,100000,,,web-wiki+bio,unstructured
77,77,77,77,77,76,76,90,1,100000,0.7970533824669894,0.7522986859867162,web-wiki,unstructured
78,78,78,78,78,77,77,91,65,1000,0.6987178661379372,0.6510917051895264,web-wiki,unstructured
79,79,79,79,79,78,78,92,57,10000,0.7685242337389314,0.734382846924043,web-wiki,unstructured
80,80,80,80,80,79,79,93,69,1000,0.6831430684225752,0.5257730292574254,web-wiki,unstructured
81,81,81,81,81,80,80,94,5,362259,0.8068050886437537,0.7676390278555777,web-wiki,unstructured
82,82,82,82,82,81,81,96,45,10000,0.7706764446920573,0.7329952554445595,web-wiki,unstructured
83,83,83,83,83,82,82,102,9,362259,0.8073641847728124,0.7727327452733457,web-wiki,unstructured
84,84,84,84,84,83,83,97,73,1000,0.6881280184299506,0.6706900806250627,web-wiki,unstructured
85,85,85,85,85,84,84,98,77,1000,0.7081484183873188,0.6813817388530627,web-wiki,unstructured
86,86,86,86,86,85,85,99,49,10000,0.7701033482010203,0.733107356962878,web-wiki,unstructured
87,87,87,87,87,86,86,95,53,10000,0.7682289164013496,0.732359689526298,web-wiki,unstructured
88,88,88,88,88,87,87,88,85,100,0.6605593231840796,0.6549360935432733,web-wiki,unstructured
89,89,89,89,89,88,88,89,29,100000,0.7975373938847768,0.7597324091336739,web-wiki,unstructured
90,90,90,90,90,89,89,86,33,100000,0.7966852417592636,0.7600713691767627,web-wiki,unstructured
91,91,91,91,91,90,90,85,89,100,0.6590514665482775,0.6442710075527359,web-wiki,unstructured
92,92,92,92,92,91,91,84,17,362259,0.8093427943071012,0.7711964829062861,web-wiki,unstructured
93,93,93,93,93,92,92,83,25,100000,0.7974037726700982,0.7566377292975819,web-wiki,unstructured
94,94,94,94,94,93,93,82,41,100000,0.7979954152280716,0.7585370767306385,web-wiki,unstructured
95,95,95,95,95,94,94,81,93,100,0.6301690881503106,0.6358072969259362,web-wiki,unstructured
96,96,96,96,96,95,95,80,61,10000,0.7665772778642658,0.7326088159678965,web-wiki,unstructured
97,97,97,97,97,96,96,79,37,100000,,,web-wiki,unstructured
98,98,98,98,98,97,97,78,21,362259,0.8065724570124169,0.7672549436059712,web-wiki,unstructured
99,99,99,99,99,98,98,77,97,100,0.662885616474744,0.4296840644622278,web-wiki,unstructured
100,100,100,100,100,99,99,100,13,362259,0.8073841403408357,0.7663825202955313,web-wiki,unstructured
101,101,101,101,101,100,100,87,101,100,0.6299342412232543,0.6356965248872972,web-wiki,unstructured
102,102,102,102,102,101,101,101,82,1000,0.7003939112991091,0.6508017796894022,web-wiki,unstructured
103,103,103,103,103,50,50,109,62,10000,0.7608223130642404,0.7315738976110702,random-init,unstructured
