,pretrained,data/num_train_samples,test/roc_auc,test/temporal_roc_auc
0,bio_new,100000,0.7944523311132217,0.7539563284600417
1,web-wiki_new,100000,0.7970533824669894,0.7522986859867162
2,gatortron-og_new,100000,0.8331222722700558,0.7928619736140423
3,gatortron-og_new,362259,0.8413263948566012,0.80135996260073
4,bio_new,362259,0.8047423362432939,0.7663763588688173
5,web-wiki_new,362259,0.8068050886437537,0.7676390278555777
6,random_init_new,362259,0.8132823293810957,0.7715074579228013
7,gatortron-og_new,362259,0.840992038687638,0.7968903699392801
8,bio_new,362259,0.8029031573192715,0.7652942075354852
9,web-wiki_new,362259,0.8073641847728124,0.7727327452733457
10,random_init_new,362259,0.8137134576482936,0.7756350827235581
11,gatortron-og_new,362259,0.8397775603661434,0.7997688097319079
12,bio_new,362259,0.8020140921253595,0.7627246391962239
13,web-wiki_new,362259,0.8073841403408357,0.7663825202955313
14,random_init_new,362259,0.8137377721815668,0.7732929821092857
15,gatortron-og_new,362259,0.8410223851693022,0.8038069862372959
16,bio_new,362259,0.805170676205256,0.7716409335171713
17,web-wiki_new,362259,0.8093427943071012,0.7711964829062861
18,random_init_new,362259,0.8144413562414898,0.7749619251598885
19,gatortron-og_new,362259,0.8409351419123554,0.8016744504982786
20,bio_new,362259,0.8047464752138185,0.7668758509798099
21,web-wiki_new,362259,0.8065724570124169,0.7672549436059712
22,gatortron-og_new,100000,0.83298626181034,0.7927474960413095
23,random_init_new,362259,0.8157249870909141,0.7783734984533675
24,bio_new,100000,0.7923896452227951,0.7528956397190323
25,web-wiki_new,100000,0.7974037726700982,0.7566377292975819
26,random_init_new,100000,0.8043214377308102,0.7648409365385267
27,gatortron-og_new,100000,0.830571679008746,0.7901871090956585
28,bio_new,100000,0.7942946614054025,0.7422117969570869
29,web-wiki_new,100000,0.7975373938847768,0.7597324091336739
30,random_init_new,100000,0.7992278333519697,0.7591149352469806
31,gatortron-og_new,100000,0.8334478619050338,0.7962416150966243
32,bio_new,100000,0.7948952700274603,0.7575997397524434
33,web-wiki_new,100000,0.7966852417592636,0.7600713691767627
34,random_init_new,100000,0.8017681584873925,0.7551200570830672
35,gatortron-og_new,100000,0.8305910897061131,0.7790568006759505
36,bio_new,100000,,
37,web-wiki_new,100000,,
38,random_init_new,100000,0.8032444612286208,0.7417232218528638
39,gatortron-og_new,100000,,
40,bio_new,100000,0.7933325426143084,0.7576162436979712
41,web-wiki_new,100000,0.7979954152280716,0.7585370767306385
