,fpr,tpr,trial
9598,0.0,0.0,prospective
9599,0.0,0.0,prospective
9600,0.0,0.006,prospective
9601,0.0,0.006,prospective
9602,0.0,0.027,prospective
9603,0.0,0.027,prospective
9604,0.0,0.029,prospective
9605,0.0,0.029,prospective
9606,0.0,0.035,prospective
9607,0.0,0.035,prospective
9608,0.0,0.04,prospective
9609,0.0,0.04,prospective
9610,0.0,0.041,prospective
9611,0.0,0.041,prospective
9612,0.0,0.042,prospective
9613,0.0,0.042,prospective
9614,0.0,0.042,prospective
9615,0.0,0.042,prospective
9616,0.0,0.045,prospective
9617,0.0,0.045,prospective
9618,0.0,0.046,prospective
9619,0.0,0.046,prospective
9620,0.0,0.048,prospective
9621,0.0,0.048,prospective
9622,0.0,0.048,prospective
9623,0.001,0.048,prospective
9624,0.001,0.049,prospective
9625,0.001,0.049,prospective
9626,0.001,0.051,prospective
9627,0.001,0.051,prospective
9628,0.001,0.055,prospective
9629,0.001,0.055,prospective
9630,0.001,0.057,prospective
9631,0.001,0.057,prospective
9632,0.001,0.059,prospective
9633,0.001,0.059,prospective
9634,0.001,0.061,prospective
9635,0.001,0.061,prospective
9636,0.001,0.062,prospective
9637,0.001,0.062,prospective
9638,0.001,0.063,prospective
9639,0.001,0.063,prospective
9640,0.001,0.066,prospective
9641,0.001,0.066,prospective
9642,0.001,0.071,prospective
9643,0.001,0.071,prospective
9644,0.001,0.073,prospective
9645,0.001,0.073,prospective
9646,0.001,0.073,prospective
9647,0.001,0.073,prospective
9648,0.001,0.076,prospective
9649,0.001,0.076,prospective
9650,0.001,0.076,prospective
9651,0.001,0.076,prospective
9652,0.001,0.077,prospective
9653,0.001,0.077,prospective
9654,0.001,0.078,prospective
9655,0.001,0.078,prospective
9656,0.001,0.078,prospective
9657,0.001,0.078,prospective
9658,0.001,0.079,prospective
9659,0.002,0.079,prospective
9660,0.002,0.082,prospective
9661,0.002,0.082,prospective
9662,0.002,0.083,prospective
9663,0.002,0.083,prospective
9664,0.002,0.085,prospective
9665,0.002,0.085,prospective
9666,0.002,0.085,prospective
9667,0.002,0.085,prospective
9668,0.002,0.087,prospective
9669,0.002,0.087,prospective
9670,0.002,0.089,prospective
9671,0.002,0.089,prospective
9672,0.002,0.089,prospective
9673,0.002,0.089,prospective
9674,0.002,0.09,prospective
9675,0.002,0.09,prospective
