,competitor,precision,recall,f1,fpr,tpr,predictor
0,doctor_1,1.0,0.4545454545454545,0.625,0.0,0.4545454545454545,physician
1,doctor_2,0.9090909090909092,0.9090909090909092,0.9090909090909092,0.1111111111111111,0.9090909090909092,physician
2,doctor_3,0.9,0.8181818181818182,0.8571428571428572,0.1111111111111111,0.8181818181818182,physician
3,doctor_4,0.8333333333333334,0.4545454545454545,0.5882352941176471,0.1111111111111111,0.4545454545454545,physician
4,doctor_5,0.6666666666666666,0.1818181818181818,0.2857142857142857,0.1111111111111111,0.1818181818181818,physician
5,doctor_6,0.75,0.5454545454545454,0.631578947368421,0.2222222222222222,0.5454545454545454,physician
7,nyutron_max_f1_label,0.9,0.8181818181818182,0.8571428571428572,0.1111111111111111,0.8181818181818182,nyutron
8,median_doctor,0.8666666666666667,0.5,0.6282894736842105,0.1111111111111111,0.5,median physician
