,run_name,eval/overall_f1,eval/overall_precision,eval/overall_recall
0,i2b2-2012-finetuning-gatortron-og,0.7972253012478994,0.7728785357737105,0.8231558738831869
1,i2b2-2012-finetuning-nyutron,0.7934433254767517,0.7683103949097448,0.8202761574244998
2,i2b2-2012-finetuning-random_init,0.4273231750314253,0.365366467442592,0.5145831795023259
3,i2b2-2012-finetuning-gatortron,0.794097632606282,0.7710390874947837,0.8185778631027099
4,i2b2-2012-finetuning-biobert,0.7764638429011681,0.7542992411056186,0.7999704644465776
5,i2b2-2012-finetuning-bert,0.7568392293226412,0.7284836065573771,0.7874916931256
6,i2b2-2012-finetuning-gatortron,0.7974883387154648,0.7756683185593635,0.8205715129587241
7,i2b2-2012-finetuning-biobert,0.7732990280160091,0.749255591718025,0.7989367200767924
8,i2b2-2012-finetuning-biobert,0.7732990280160091,0.749255591718025,0.7989367200767924
9,i2b2-2012-finetuning-random_init,0.4269622202760246,0.3612161471640265,0.521967067857934
10,i2b2-2012-finetuning-random_init,0.4269622202760246,0.3612161471640265,0.521967067857934
11,i2b2-2012-finetuning-gatortron-og,0.7964931114689568,0.7727398972364949,0.8217529350956213
12,i2b2-2012-finetuning-gatortron-og,0.7964931114689568,0.7727398972364949,0.8217529350956213
13,i2b2-2012-finetuning-gatortron,0.793400286944046,0.7714305642742554,0.8166580521302518
14,i2b2-2012-finetuning-biobert,0.7697047864717685,0.7475815992762196,0.7931772871594182
15,i2b2-2012-finetuning-bert,0.7527986396485759,0.7235274089206674,0.7845381377833567
16,i2b2-2012-finetuning-random_init,0.4222432242919423,0.35959081939973,0.5113342686258584
17,i2b2-2012-finetuning-gatortron,0.7931541745900756,0.7714265773311,0.8161411799453592
18,i2b2-2012-finetuning-bert,0.7589507266926622,0.7298697756869162,0.7904452484678431
19,i2b2-2012-finetuning-random_init,0.4231839730845695,0.3612155388471177,0.5108173964409658
20,i2b2-2012-finetuning-gatortron,0.7911686824590282,0.7675484274109561,0.8162888577124714
21,i2b2-2012-finetuning-biobert,0.7721795101019131,0.7486478990431286,0.7972384257550026
22,i2b2-2012-finetuning-bert,0.7536170363295482,0.7233464620399294,0.7865317876393709
23,i2b2-2012-finetuning-bert,0.7592460881934566,0.7323180352610277,0.7882300819611607
24,i2b2-2012-finetuning-nyutron,0.7939860390191517,0.7705669816564759,0.8188732186369342
25,i2b2-2012-finetuning-nyutron,0.793851201940224,0.7677819937909623,0.8217529350956213
26,i2b2-2012-finetuning-nyutron,0.7933578020881589,0.7666666666666667,0.8219744517462896
27,i2b2-2012-finetuning-nyutron,0.7933578020881589,0.7666666666666667,0.8219744517462896
28,i2b2-2012-finetuning-gatortron-og,0.7983530254206945,0.774935705845555,0.823229712766743
29,i2b2-2012-finetuning-gatortron-og,0.7969433881036091,0.7750331449305701,0.8201284796573876
