,name,pid,date,seed,gamma,node_ip,hostname,trial_id,max_depth,n_samples,reg_alpha,reg_lambda,n_estimators,experiment_id,learning_rate,colsample_bytree,min_child_weight,scale_pos_weight,config/n_estimators,config/scale_pos_weight,_wandb,timestamp,_timestamp,train_set_auc,config/max_depth,config/reg_alpha,config/reg_lambda,training_iteration,config/colsample_bytree,timesteps_since_restore,_runtime,val_set_auc,config/gamma,warmup_time,time_total_s,same_time_test_auc,time_since_restore,iterations_since_restore,_step,time_this_iter_s,config/min_child_weight,temporal_test_auc,config/learning_rate,config/seed,config/n_samples
10,362259samples-13seed,54248,2022-10-02_00-20-06,13,8,192.168.0.28,cn-0022,fba68ca8,8,362259,0.15178956788204143,4,200,2611d785cc9f45deaa8cd1917be0e2a1,0.03421895248083066,0.8052880645071049,8,30,200,30,{'runtime': 1520},1664684406,1664684406,0.7070034448879149,8,0.15178956788204143,4,1,0.8052880645071049,0,1519,0.7019903546127542,8,0.003700494766235352,1520.042858362198,0.701616887556378,1520.042858362198,1,0,1520.042858362198,8,0.678577607602219,0.03421895248083066,13,362259
11,362259samples-21seed,36354,2022-10-02_00-09-04,21,4,192.168.0.26,cn-0020,aaa5dff4,12,362259,0.37630010175920114,8,50,36735dc4c1e34142b208ac53e0162159,0.07111048467425354,0.8195152211685,4,20,50,20,{'runtime': 1026},1664683744,1664683744,0.6775742067738896,12,0.37630010175920114,8,1,0.8195152211685,0,1026,0.6730581600171723,4,0.00360250473022461,1026.7104189395905,0.6739786049092836,1026.7104189395905,1,0,1026.7104189395905,4,0.6545416511543348,0.07111048467425354,21,362259
12,362259samples-0seed,14169,2022-10-02_00-20-07,0,4,192.168.0.51,cn-0045,7947cb62,12,362259,0.5387588980085709,10,150,662359216f5a47eebff50318e5e1d8a8,0.010433289075131908,0.9677807175727828,8,40,150,40,{'runtime': 1804},1664684407,1664684407,0.6905016222832099,12,0.5387588980085709,10,1,0.9677807175727828,0,1804,0.682656523473941,4,0.003758668899536133,1804.369528532028,0.6871375791551253,1804.369528532028,1,0,1804.369528532028,8,0.6678482969823505,0.010433289075131908,0,362259
13,362259samples-36seed,120469,2022-10-02_00-01-18,36,4,192.168.0.19,cn-0013,cbd9a5b4,4,362259,0.09018152413020508,6,100,974d6b9504534926a971075846085b33,0.021319552468428052,0.935312082242676,8,20,100,20,{'runtime': 937},1664683278,1664683278,0.7239503227106264,4,0.09018152413020508,6,1,0.935312082242676,0,936,0.7232778109039195,4,0.0037539005279541016,936.5321788787842,0.7227179092773679,936.5321788787842,1,0,936.5321788787842,8,0.7131282418042924,0.021319552468428052,36,362259
14,362259samples-21seed,36229,2022-10-01_23-59-19,21,12,192.168.0.26,cn-0020,b2db7cd2,4,362259,0.4236239973726881,6,50,9aafcb9cbd6c40f1ad08cb54836d7668,0.010661707736091748,0.7915564087687186,0,50,50,50,{'runtime': 826},1664683159,1664683159,0.6984462367135129,4,0.4236239973726881,6,1,0.7915564087687186,0,826,0.6971077895303853,12,0.003991842269897461,826.1943604946136,0.6969294932050076,826.1943604946136,1,0,826.1943604946136,0,0.6911384795476109,0.010661707736091748,21,362259
15,362259samples-42seed,159892,2022-10-01_23-58-12,42,8,192.168.0.39,cn-0033,de674822,4,362259,0.8454031940747764,8,200,82ef462bea6c4c5e96706df2b35d6c46,0.013210231852517096,0.9603687101691484,0,30,200,30,{'runtime': 1222},1664683092,1664683092,0.7217110094258476,4,0.8454031940747764,8,1,0.9603687101691484,0,1222,0.7216250787982436,8,0.00420689582824707,1222.2751965522766,0.7198680336572691,1222.2751965522766,1,0,1222.2751965522766,0,0.7102345234090269,0.013210231852517096,42,362259
16,362259samples-0seed,14169,2022-10-01_23-50-00,0,8,192.168.0.51,cn-0045,fd5a2bd0,12,362259,0.25204352145758835,2,100,662359216f5a47eebff50318e5e1d8a8,0.021840534310029445,0.9688577977143804,4,0,100,0,{'runtime': 779},1664682600,1664682600,0.5,12,0.25204352145758835,2,1,0.9688577977143804,0,780,0.5,8,0.003758668899536133,779.7683372497559,0.5,779.7683372497559,1,0,779.7683372497559,4,0.5,0.021840534310029445,0,362259
17,362259samples-0seed,14321,2022-10-02_00-12-07,0,4,192.168.0.51,cn-0045,df01def6,12,362259,0.7154339879820562,6,250,5c9bc36e3043437ab87a66d7e2609736,0.04184359902856166,0.8318761889935076,4,40,250,40,{'runtime': 2315},1664683927,1664683927,0.6815295720792062,12,0.7154339879820562,6,1,0.8318761889935076,0,2315,0.6779661370729435,4,0.003467321395874023,2314.8925762176514,0.6778936719653129,2314.8925762176514,1,0,2314.8925762176514,4,0.657019650278947,0.04184359902856166,0,362259
18,362259samples-13seed,54248,2022-10-01_23-54-43,13,4,192.168.0.28,cn-0022,4d99db6a,8,362259,0.18451667631931756,4,200,2611d785cc9f45deaa8cd1917be0e2a1,0.04928726485835951,0.7393036903895904,4,20,200,20,{'runtime': 1702},1664682883,1664682883,0.7155421059996723,8,0.18451667631931756,4,1,0.7393036903895904,0,1703,0.7076081186488379,4,0.003700494766235352,1703.0120015144348,0.7055487560700126,1703.0120015144348,1,0,1703.0120015144348,4,0.6879053411717697,0.04928726485835951,13,362259
19,362259samples-36seed,120390,2022-10-01_23-57-14,36,0,192.168.0.19,cn-0013,3dd0fad8,8,362259,0.8339693939774013,2,250,e04cfc32c88c4657b9b04d49e3dff4e5,0.019844181092649345,0.9602817243367214,4,20,250,20,{'runtime': 1935},1664683034,1664683034,0.7108652032271862,8,0.8339693939774013,2,1,0.9602817243367214,0,1934,0.7063731306443568,0,0.0046312808990478516,1934.2182447910309,0.7090262280371592,1934.2182447910309,1,0,1934.2182447910309,4,0.6879272428742216,0.019844181092649345,36,362259
